sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
520,Cadbury Dairy Milk,Milk Chocolate,Nestle,Confectionery,"Milk Chocolate, Sugar",Carbohydrate,Yes,Allergen Content,200g per day,Yes,Yes,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
521,McCain French Fries,Potatoes,Amul,Frozen Foods,"Flour, Butter, Sugar",Sweetener,Yes,Allergen Content,200g per day,Yes (Occasional),Yes (Occasional),No,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
522,Coca-Cola Classic,Potatoes,Amul,Beverages,"Milk, Sugar, Culture",Additive,Yes,High Sodium,100g per day,Limited,Yes,No,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Australia,5 days from packing
523,Britannia Biscuits,Carbonated Water,Amul,Beverages,"Potatoes, Vegetable Oil, Salt",Fat,No,Chemical Additives,Moderate Intake,No,No,Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,3,India,7 days from packing
524,Epigamia Greek Yogurt,Milk,Haldiram's,Beverages,"Potatoes, Vegetable Oil, Salt",Sweetener,No,None,As Desired,Yes (Occasional),No,Yes (Occasional),High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
525,McCain French Fries,Milk Chocolate,Haldiram's,Beverages,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,High Sodium,As Desired,Yes (Occasional),Yes (Occasional),Yes (Occasional),High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
526,Cadbury Dairy Milk,Milk,Nestle,Confectionery,"Milk Chocolate, Sugar",Sweetener,No,None,As Desired,No,Limited,No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
527,Epigamia Greek Yogurt,Potatoes,Lay's,Beverages,"Milk, Sugar, Culture",Protein,No,Chemical Additives,Moderate Intake,Limited,Limited,No,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
528,Cadbury Dairy Milk,Milk Chocolate,Coca-Cola,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,Allergen Content,Moderate Intake,No,Limited,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
529,McCain French Fries,Potatoes,Britannia,Snacks,"Potatoes, Vegetable Oil, Salt",Additive,No,High Sodium,200g per day,Limited,Limited,Limited,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,USA,7 days from packing
530,Cadbury Dairy Milk,Potatoes,Britannia,Beverages,"Milk Chocolate, Sugar",Dairy,Yes,Chemical Additives,Moderate Intake,Limited,Yes,No,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
531,Britannia Biscuits,Milk,Haldiram's,Beverages,"Potatoes, Oil, Salt",Sweetener,No,Allergen Content,100g per day,Yes (Occasional),Yes,No,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
532,Epigamia Greek Yogurt,Milk,Coca-Cola,Dairy Products,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,High Sodium,Moderate Intake,Yes,Yes,Yes (Occasional),High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
533,Epigamia Greek Yogurt,Milk,Britannia,Confectionery,"Flour, Butter, Sugar",Fat,Yes,None,As Desired,No,Limited,Yes (Occasional),High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
534,Cadbury Dairy Milk,Milk,Nestle,Snacks,"Potatoes, Oil, Salt",Carbohydrate,No,None,100g per day,No,Yes,No,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
535,McCain French Fries,Milk Chocolate,Amul,Dairy Products,"Potatoes, Oil, Salt",Sweetener,No,None,200g per day,No,Yes,Yes,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,USA,14 days from packing
536,Epigamia Greek Yogurt,Carbonated Water,Britannia,Snacks,"Carbonated Water, Sugar",Fat,No,None,100g per day,Yes,No,Yes,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,2,India,7 days from packing
537,McCain French Fries,Milk Chocolate,Haldiram's,Dairy Products,"Milk, Sugar, Culture",Sweetener,Yes,Allergen Content,200g per day,No,Yes (Occasional),No,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
538,Lay's Chips,Carbonated Water,Coca-Cola,Frozen Foods,"Carbonated Water, Sugar",Additive,No,High Sodium,200g per day,No,Yes (Occasional),No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,2,USA,14 days from packing
539,McCain French Fries,Potatoes,Britannia,Confectionery,"Carbonated Water, Sugar",Protein,Yes,None,Moderate Intake,Yes (Occasional),Limited,Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,1,2,India,5 days from packing
540,Lay's Chips,Potatoes,Amul,Dairy Products,"Milk, Sugar, Culture",Additive,No,High Sodium,As Desired,Limited,Yes,No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,1,3,USA,5 days from packing
541,Coca-Cola Classic,Milk Chocolate,Nestle,Snacks,"Carbonated Water, Sugar",Protein,No,High Sodium,200g per day,Limited,No,Yes (Occasional),Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,2,USA,7 days from packing
542,Cadbury Dairy Milk,Flour,Haldiram's,Beverages,"Potatoes, Vegetable Oil, Salt",Additive,Yes,None,100g per day,Yes (Occasional),Yes,Limited,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
543,McCain French Fries,Milk,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Additive,Yes,None,200g per day,Yes (Occasional),Limited,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
544,Britannia Biscuits,Flour,Britannia,Frozen Foods,"Flour, Butter, Sugar",Fat,Yes,None,200g per day,Limited,Limited,Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
545,Britannia Biscuits,Flour,Lay's,Dairy Products,"Carbonated Water, Sugar",Carbohydrate,No,High Sodium,As Desired,Yes (Occasional),Yes (Occasional),No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,2,India,7 days from packing
546,Coca-Cola Classic,Potatoes,Britannia,Snacks,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),Limited,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
547,Lay's Chips,Flour,Britannia,Snacks,"Carbonated Water, Sugar",Protein,No,None,100g per day,Yes (Occasional),No,Limited,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
548,Britannia Biscuits,Potatoes,Haldiram's,Dairy Products,"Milk, Sugar, Culture",Protein,No,Chemical Additives,Moderate Intake,No,Limited,Limited,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,3,USA,7 days from packing
549,McCain French Fries,Potatoes,Nestle,Dairy Products,"Milk Chocolate, Sugar",Additive,No,High Sodium,Moderate Intake,Yes (Occasional),Limited,Yes,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,1,2,India,7 days from packing
550,Lay's Chips,Potatoes,Britannia,Dairy Products,"Milk Chocolate, Sugar",Additive,Yes,Chemical Additives,200g per day,No,Yes,Yes (Occasional),Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,2,India,5 days from packing
551,Coca-Cola Classic,Carbonated Water,Britannia,Snacks,"Milk Chocolate, Sugar",Sweetener,No,Chemical Additives,100g per day,No,Limited,Yes,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,0,2,Australia,14 days from packing
552,Lay's Chips,Potatoes,Haldiram's,Snacks,"Milk Chocolate, Sugar",Additive,No,Chemical Additives,As Desired,Yes,Yes (Occasional),No,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
553,Cadbury Dairy Milk,Flour,Nestle,Confectionery,"Flour, Butter, Sugar",Dairy,No,None,100g per day,Limited,Yes (Occasional),Limited,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
554,Coca-Cola Classic,Potatoes,Amul,Frozen Foods,"Milk Chocolate, Sugar",Carbohydrate,No,None,As Desired,Yes (Occasional),Limited,Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,India,7 days from packing
555,Cadbury Dairy Milk,Milk,Lay's,Confectionery,"Potatoes, Oil, Salt",Sweetener,No,Allergen Content,100g per day,No,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,USA,14 days from packing
556,Britannia Biscuits,Carbonated Water,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Additive,No,Chemical Additives,100g per day,Yes,Yes,Yes (Occasional),Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,7 days from packing
557,Lay's Chips,Milk Chocolate,Nestle,Dairy Products,"Milk Chocolate, Sugar",Fat,Yes,Allergen Content,Moderate Intake,No,Limited,Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,2,India,5 days from packing
558,Cadbury Dairy Milk,Milk,Nestle,Snacks,"Carbonated Water, Sugar",Dairy,Yes,Chemical Additives,200g per day,Yes,Limited,No,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,2,2,USA,5 days from packing
559,Coca-Cola Classic,Milk Chocolate,Haldiram's,Dairy Products,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Chemical Additives,200g per day,Yes (Occasional),Limited,Yes,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
560,Epigamia Greek Yogurt,Potatoes,Lay's,Confectionery,"Carbonated Water, Sugar",Additive,Yes,Allergen Content,Moderate Intake,Limited,Yes (Occasional),Yes (Occasional),High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,2,Mexico,7 days from packing
561,Coca-Cola Classic,Flour,Amul,Beverages,"Milk Chocolate, Sugar",Sweetener,Yes,Allergen Content,As Desired,Yes (Occasional),Yes,Yes,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
562,Cadbury Dairy Milk,Milk Chocolate,Amul,Beverages,"Flour, Butter, Sugar",Fat,No,Chemical Additives,100g per day,Yes (Occasional),Yes (Occasional),No,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,India,7 days from packing
563,Britannia Biscuits,Carbonated Water,Nestle,Beverages,"Flour, Butter, Sugar",Protein,Yes,None,As Desired,No,Limited,Yes,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,3,India,14 days from packing
564,Britannia Biscuits,Milk,Haldiram's,Confectionery,"Carbonated Water, Sugar",Dairy,No,Chemical Additives,Moderate Intake,Yes,Limited,Yes (Occasional),High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,2,USA,5 days from packing
565,McCain French Fries,Milk,Coca-Cola,Beverages,"Flour, Butter, Sugar",Protein,No,High Sodium,As Desired,No,Yes (Occasional),Yes,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
566,Coca-Cola Classic,Potatoes,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Protein,Yes,Chemical Additives,Moderate Intake,Yes (Occasional),No,No,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,3,USA,14 days from packing
567,Britannia Biscuits,Potatoes,Nestle,Snacks,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,None,200g per day,Yes,No,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
568,Britannia Biscuits,Milk,Britannia,Confectionery,"Milk Chocolate, Sugar",Sweetener,No,Chemical Additives,200g per day,Yes (Occasional),Yes (Occasional),Yes,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,2,2,Mexico,14 days from packing
569,Cadbury Dairy Milk,Potatoes,Lay's,Confectionery,"Milk Chocolate, Sugar",Protein,Yes,Allergen Content,100g per day,Yes,Limited,Limited,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,0,2,USA,14 days from packing
570,Lay's Chips,Flour,Britannia,Beverages,"Potatoes, Oil, Salt",Additive,Yes,None,Moderate Intake,No,Yes,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
571,Cadbury Dairy Milk,Flour,Lay's,Beverages,"Potatoes, Oil, Salt",Dairy,Yes,None,100g per day,Yes (Occasional),No,No,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,India,7 days from packing
572,Epigamia Greek Yogurt,Milk Chocolate,Amul,Confectionery,"Flour, Butter, Sugar",Additive,Yes,None,Moderate Intake,Yes (Occasional),No,No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,5 days from packing
573,Epigamia Greek Yogurt,Carbonated Water,Coca-Cola,Dairy Products,"Milk, Sugar, Culture",Protein,No,Chemical Additives,As Desired,Limited,Yes,Yes (Occasional),Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Canada,14 days from packing
574,McCain French Fries,Milk,Haldiram's,Confectionery,"Flour, Butter, Sugar",Sweetener,No,Allergen Content,100g per day,Limited,No,Yes,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,2,3,USA,7 days from packing
575,Lay's Chips,Milk,Haldiram's,Beverages,"Flour, Butter, Sugar",Fat,Yes,None,Moderate Intake,Yes (Occasional),Limited,Limited,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
576,Cadbury Dairy Milk,Milk Chocolate,Haldiram's,Snacks,"Carbonated Water, Sugar",Additive,No,None,100g per day,No,Limited,Yes,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
577,Lay's Chips,Potatoes,Coca-Cola,Snacks,"Potatoes, Vegetable Oil, Salt",Additive,No,Chemical Additives,As Desired,Limited,Limited,Yes (Occasional),Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
578,McCain French Fries,Carbonated Water,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Carbohydrate,No,None,Moderate Intake,Limited,Yes,No,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,India,7 days from packing
579,Lay's Chips,Potatoes,Amul,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,Chemical Additives,100g per day,No,Limited,No,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,2,3,Mexico,14 days from packing
580,McCain French Fries,Carbonated Water,Haldiram's,Snacks,"Potatoes, Oil, Salt",Fat,No,Allergen Content,100g per day,Yes,Limited,Yes (Occasional),High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
581,McCain French Fries,Milk Chocolate,Lay's,Beverages,"Flour, Butter, Sugar",Additive,Yes,Chemical Additives,As Desired,No,Yes,Limited,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
582,Cadbury Dairy Milk,Flour,Coca-Cola,Frozen Foods,"Milk Chocolate, Sugar",Protein,Yes,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,2,Mexico,5 days from packing
583,Epigamia Greek Yogurt,Potatoes,Nestle,Snacks,"Potatoes, Oil, Salt",Additive,Yes,High Sodium,As Desired,Yes (Occasional),No,No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
584,Epigamia Greek Yogurt,Milk,Haldiram's,Beverages,"Milk, Sugar, Culture",Carbohydrate,No,None,Moderate Intake,No,No,Yes,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,India,7 days from packing
585,McCain French Fries,Milk,Nestle,Frozen Foods,"Flour, Butter, Sugar",Carbohydrate,No,None,As Desired,Yes (Occasional),No,No,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
586,McCain French Fries,Flour,Britannia,Confectionery,"Flour, Butter, Sugar",Protein,No,None,200g per day,No,No,Limited,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
587,Cadbury Dairy Milk,Milk Chocolate,Haldiram's,Beverages,"Potatoes, Oil, Salt",Sweetener,No,None,200g per day,Yes,Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,2,3,Mexico,14 days from packing
588,Coca-Cola Classic,Potatoes,Amul,Confectionery,"Carbonated Water, Sugar",Carbohydrate,Yes,Allergen Content,Moderate Intake,Yes (Occasional),Limited,Yes,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,0,2,USA,5 days from packing
589,Lay's Chips,Potatoes,Nestle,Frozen Foods,"Milk, Sugar, Culture",Dairy,No,High Sodium,100g per day,Yes (Occasional),Yes,Limited,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,1,3,USA,5 days from packing
590,Cadbury Dairy Milk,Flour,Haldiram's,Confectionery,"Milk, Sugar, Culture",Dairy,No,High Sodium,As Desired,No,Limited,Yes,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,2,3,USA,5 days from packing
591,Epigamia Greek Yogurt,Milk,Lay's,Confectionery,"Milk Chocolate, Sugar",Additive,No,Allergen Content,As Desired,Yes,Yes (Occasional),No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
592,McCain French Fries,Potatoes,Nestle,Beverages,"Flour, Butter, Sugar",Dairy,Yes,High Sodium,200g per day,Yes,No,No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,India,14 days from packing
593,Coca-Cola Classic,Milk,Amul,Beverages,"Milk Chocolate, Sugar",Protein,Yes,Chemical Additives,Moderate Intake,Limited,Yes,Yes,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,0,2,India,14 days from packing
594,Coca-Cola Classic,Milk Chocolate,Britannia,Frozen Foods,"Milk Chocolate, Sugar",Carbohydrate,No,Chemical Additives,200g per day,No,Limited,Limited,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,0,2,USA,7 days from packing
595,McCain French Fries,Milk,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Sweetener,Yes,Allergen Content,100g per day,No,Yes,Limited,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Mexico,14 days from packing
596,Coca-Cola Classic,Potatoes,Britannia,Beverages,"Milk Chocolate, Sugar",Protein,Yes,High Sodium,As Desired,Yes (Occasional),Yes,Yes (Occasional),Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,2,2,Australia,14 days from packing
597,Cadbury Dairy Milk,Milk,Coca-Cola,Snacks,"Potatoes, Oil, Salt",Additive,No,Allergen Content,100g per day,Limited,Limited,No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,India,7 days from packing
598,Coca-Cola Classic,Milk,Nestle,Frozen Foods,"Flour, Butter, Sugar",Fat,Yes,Chemical Additives,Moderate Intake,Limited,Limited,Limited,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
599,Coca-Cola Classic,Potatoes,Coca-Cola,Frozen Foods,"Milk, Sugar, Culture",Protein,No,High Sodium,200g per day,No,No,Yes (Occasional),High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
600,McCain French Fries,Milk,Britannia,Snacks,"Milk, Sugar, Culture",Sweetener,Yes,High Sodium,As Desired,Limited,Yes (Occasional),Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
601,Epigamia Greek Yogurt,Potatoes,Nestle,Frozen Foods,"Potatoes, Oil, Salt",Dairy,No,None,200g per day,No,Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,3,India,14 days from packing
602,Coca-Cola Classic,Flour,Coca-Cola,Frozen Foods,"Potatoes, Oil, Salt",Protein,No,High Sodium,As Desired,Limited,Yes,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,Canada,5 days from packing
603,Coca-Cola Classic,Flour,Haldiram's,Confectionery,"Milk Chocolate, Sugar",Dairy,No,High Sodium,As Desired,Limited,Yes (Occasional),Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,1,2,USA,14 days from packing
604,Epigamia Greek Yogurt,Potatoes,Amul,Frozen Foods,"Milk Chocolate, Sugar",Fat,No,Allergen Content,200g per day,No,Limited,No,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,Mexico,7 days from packing
605,McCain French Fries,Flour,Lay's,Confectionery,"Carbonated Water, Sugar",Sweetener,Yes,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),No,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,0,2,India,7 days from packing
606,Cadbury Dairy Milk,Carbonated Water,Nestle,Snacks,"Flour, Butter, Sugar",Carbohydrate,No,None,100g per day,No,No,Yes,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,2,3,India,14 days from packing
607,Epigamia Greek Yogurt,Milk Chocolate,Lay's,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,None,100g per day,No,No,Limited,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
608,McCain French Fries,Carbonated Water,Haldiram's,Frozen Foods,"Carbonated Water, Sugar",Dairy,No,None,As Desired,No,Yes,Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,2,2,Mexico,5 days from packing
609,McCain French Fries,Potatoes,Coca-Cola,Beverages,"Milk, Sugar, Culture",Additive,No,Allergen Content,100g per day,No,No,Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
610,Lay's Chips,Potatoes,Lay's,Frozen Foods,"Flour, Butter, Sugar",Sweetener,Yes,High Sodium,As Desired,Limited,Yes (Occasional),Limited,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
611,Britannia Biscuits,Milk,Nestle,Beverages,"Milk, Sugar, Culture",Carbohydrate,No,Allergen Content,As Desired,Yes,Limited,No,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,3,Mexico,7 days from packing
612,Lay's Chips,Milk Chocolate,Nestle,Dairy Products,"Potatoes, Oil, Salt",Additive,No,None,100g per day,No,Yes,No,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,0,3,USA,14 days from packing
613,Epigamia Greek Yogurt,Potatoes,Lay's,Snacks,"Carbonated Water, Sugar",Dairy,Yes,Allergen Content,100g per day,Yes,Yes,Limited,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,2,India,7 days from packing
614,Lay's Chips,Milk Chocolate,Haldiram's,Confectionery,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,High Sodium,As Desired,Yes,Limited,Yes,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,0,3,India,7 days from packing
615,Cadbury Dairy Milk,Milk,Coca-Cola,Confectionery,"Potatoes, Vegetable Oil, Salt",Protein,Yes,None,100g per day,Yes (Occasional),No,Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,2,3,USA,14 days from packing
616,Coca-Cola Classic,Potatoes,Britannia,Snacks,"Milk, Sugar, Culture",Additive,No,None,As Desired,Yes (Occasional),Yes,Limited,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
617,Coca-Cola Classic,Milk Chocolate,Haldiram's,Confectionery,"Potatoes, Oil, Salt",Dairy,No,Chemical Additives,Moderate Intake,Yes,Yes (Occasional),No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
618,Britannia Biscuits,Potatoes,Lay's,Beverages,"Potatoes, Oil, Salt",Additive,No,None,As Desired,No,No,No,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,14 days from packing
619,Cadbury Dairy Milk,Carbonated Water,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Additive,No,High Sodium,100g per day,Yes,Yes (Occasional),Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
620,Britannia Biscuits,Milk,Coca-Cola,Frozen Foods,"Potatoes, Oil, Salt",Additive,No,Chemical Additives,100g per day,Yes (Occasional),Limited,Yes (Occasional),Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
621,Cadbury Dairy Milk,Potatoes,Lay's,Frozen Foods,"Carbonated Water, Sugar",Sweetener,No,None,As Desired,No,Limited,No,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,2,Mexico,5 days from packing
622,Epigamia Greek Yogurt,Carbonated Water,Nestle,Snacks,"Flour, Butter, Sugar",Fat,No,Allergen Content,200g per day,Yes,Yes (Occasional),No,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,USA,14 days from packing
623,Epigamia Greek Yogurt,Milk Chocolate,Amul,Frozen Foods,"Flour, Butter, Sugar",Fat,Yes,None,Moderate Intake,Limited,No,Limited,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
624,Cadbury Dairy Milk,Potatoes,Haldiram's,Dairy Products,"Carbonated Water, Sugar",Dairy,Yes,None,As Desired,Yes (Occasional),No,Yes (Occasional),Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,1,2,Canada,5 days from packing
625,Cadbury Dairy Milk,Carbonated Water,Coca-Cola,Dairy Products,"Milk Chocolate, Sugar",Additive,Yes,Allergen Content,As Desired,Yes (Occasional),Yes (Occasional),No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
